id,tcga_code
ACH-000692,HNSC
ACH-000683,COAD/READ
ACH-000195,
ACH-000807,
ACH-000370,GBM
ACH-000182,
ACH-000686,LIHC
ACH-000280,OV
ACH-000460,OV
ACH-000089,LIHC
ACH-000550,SKCM
ACH-000211,MB
ACH-000625,LIHC
ACH-000607,SARC
ACH-000705,LUSC
ACH-001089,LIHC
ACH-000641,LAML
ACH-000753,BLCA
ACH-000310,NB
ACH-000656,DLBC
ACH-000085,PAAD
ACH-001044,SKCM
ACH-000468,PAAD
ACH-000994,UCEC
ACH-001049,SCLC
ACH-000813,
ACH-000761,STAD
ACH-001318,LIHC
ACH-000227,NB
ACH-000329,GBM
ACH-000050,MM
ACH-000313,KIRC
ACH-000781,LUAD
ACH-000594,SCLC
ACH-000866,SCLC
ACH-000095,MB
ACH-000177,PRAD
ACH-000179,SCLC
ACH-000214,COAD/READ
ACH-000519,ALL
ACH-000373,LAML
ACH-000322,SKCM
ACH-000640,SKCM
ACH-000180,SKCM
ACH-000814,SKCM
ACH-000158,DLBC
ACH-000224,SARC
ACH-000358,SCLC
ACH-000925,LUAD
ACH-000097,BRCA
ACH-000386,LAML
ACH-000312,NB
ACH-000668,BRCA
ACH-000092,MESO
ACH-000932,STAD
ACH-000104,ALL
ACH-000467,COAD/READ
ACH-000766,LUAD
ACH-000125,
ACH-001071,
ACH-000319,MESO
ACH-000417,PAAD
ACH-000359,SARC
ACH-000307,PAAD
ACH-000284,
ACH-000900,LUAD
ACH-000051,SARC
ACH-000437,GBM
ACH-000331,MESO
ACH-000845,LUAD
ACH-000870,SCLC
ACH-000744,LUAD
ACH-000131,LUAD
ACH-000733,LUAD
ACH-000559,SCLC
ACH-000306,SKCM
ACH-000093,PAAD
ACH-000229,
ACH-000402,DLBC
ACH-000687,DLBC
ACH-000082,SARC
ACH-000565,COAD/READ
ACH-000185,
ACH-000063,
ACH-000240,
ACH-000175,
ACH-000008,SKCM
ACH-000282,LUAD
ACH-001001,
ACH-000482,LUAD
ACH-000021,LUAD
ACH-000384,BLCA
ACH-000067,LGG
ACH-000943,COAD/READ
ACH-000133,SARC
ACH-000132,OV
ACH-000019,BRCA
ACH-000406,DLBC
ACH-000145,
ACH-000538,
ACH-000725,BRCA
ACH-000072,LCML
ACH-000960,ALL
ACH-000776,MB
ACH-001182,
ACH-000722,COAD/READ
ACH-000366,NB
ACH-000530,SCLC
ACH-000561,ESCA
ACH-001146,DLBC
ACH-000567,DLBC
ACH-001144,OV
ACH-000962,OV
ACH-000418,SARC
ACH-000621,BRCA
ACH-000819,GBM
ACH-000411,KIRC
ACH-000649,KIRC
ACH-000713,OV
ACH-000739,LIHC
ACH-001127,ALL
ACH-000816,SCLC
ACH-000290,SCLC
ACH-000601,PAAD
ACH-000796,OV
ACH-000670,SCLC
ACH-000644,SKCM
ACH-000115,PRAD
ACH-001042,OV
ACH-000915,SKCM
ACH-000107,PAAD
ACH-000117,BRCA
ACH-000178,PAAD
ACH-000936,OV
ACH-000657,UNABLE TO CLASSIFY
ACH-000752,SCLC
ACH-000966,OV
ACH-000297,SCLC
ACH-000639,SCLC
ACH-001092,
ACH-000952,PRAD
ACH-000822,SKCM
ACH-000404,SKCM
ACH-000724,BLCA
ACH-000525,SCLC
ACH-000060,PAAD
ACH-001065,BRCA
ACH-000799,SKCM
ACH-001024,SKCM
ACH-000176,LUSC
ACH-000769,LUSC
ACH-000885,OV
ACH-000423,SKCM
ACH-000222,PAAD
ACH-000409,OV
ACH-000638,LUAD
ACH-000442,LUSC
ACH-000521,LUAD
ACH-000931,SKCM
ACH-000574,OV
ACH-000477,SKCM
ACH-000380,MM
ACH-000571,GBM
ACH-000002,LAML
ACH-000863,GBM
ACH-000542,OV
ACH-000311,LUAD
ACH-000881,SKCM
ACH-000651,COAD/READ
ACH-000971,COAD/READ
ACH-000171,KIRC
ACH-000979,PRAD
ACH-000763,MM
ACH-000685,PAAD
ACH-001190,SKCM
ACH-000681,LUAD
ACH-000558,GBM
ACH-000587,LUAD
ACH-000805,SKCM
ACH-000281,PAAD
ACH-000475,LIHC
ACH-000910,BRCA
ACH-000235,PAAD
ACH-000430,UNABLE TO CLASSIFY
ACH-000527,OV
ACH-000330,BRCA
ACH-000450,SKCM
ACH-000371,DLBC
ACH-000572,SKCM
ACH-000378,LUAD
ACH-000102,GBM
ACH-000782,ALL
ACH-000797,LUSC
ACH-000323,GBM
ACH-001098,PAAD
ACH-000667,LUAD
ACH-000784,ESCA
ACH-001000,
ACH-000098,LGG
ACH-000343,LUAD
ACH-000978,UCEC
ACH-000205,PAAD
ACH-001198,LGG
ACH-000582,SKCM
ACH-000190,
ACH-000853,
ACH-000977,PRAD
ACH-000985,COAD/READ
ACH-000562,LUAD
ACH-000570,GBM
ACH-000913,UCEC
ACH-000232,GBM
ACH-000488,ESCA
ACH-000631,GBM
ACH-000954,UCEC
ACH-000647,ESCA
ACH-000909,UCEC
ACH-001126,LGG
ACH-000791,LUAD
ACH-000408,ESCA
ACH-000259,NB
ACH-000980,
ACH-000353,ESCA
ACH-000528,LUAD
ACH-000137,GBM
ACH-000747,LUSC
ACH-000880,STAD
ACH-000347,PAAD
ACH-000207,HNSC
ACH-000927,BRCA
ACH-000046,KIRC
ACH-000950,COAD/READ
ACH-000015,
ACH-000839,BLCA
ACH-000810,SKCM
ACH-000443,OV
ACH-000956,PRAD
ACH-000580,SKCM
ACH-000139,PAAD
ACH-000817,MM
ACH-001061,COAD/READ
ACH-000906,OV
ACH-000327,LUAD
ACH-000379,LUAD
ACH-000252,COAD/READ
ACH-000375,SARC
ACH-000506,SCLC
ACH-000958,COAD/READ
ACH-000120,NB
ACH-000957,COAD/READ
ACH-000820,COAD/READ
ACH-000403,COAD/READ
ACH-000242,BLCA
ACH-000793,STAD
ACH-000080,ALL
ACH-000236,COAD/READ
ACH-000680,COAD/READ
ACH-000540,
ACH-000876,BRCA
ACH-000703,SCLC
ACH-000904,
ACH-000163,THCA
ACH-000849,BRCA
ACH-000767,SCLC
ACH-000048,OV
ACH-000288,BRCA
ACH-000399,SCLC
ACH-000857,BRCA
ACH-000308,OV
ACH-000219,SKCM
ACH-000552,COAD/READ
ACH-000800,SCLC
ACH-000014,SKCM
ACH-000730,SKCM
ACH-000632,SKCM
ACH-000502,PAAD
ACH-001063,OV
ACH-000719,OV
ACH-000090,PRAD
ACH-000551,LCML
ACH-000473,BLCA
ACH-000911,STAD
ACH-000075,GBM
ACH-000234,KIRC
ACH-000679,ESCA
ACH-000709,KIRC
ACH-000577,LIHC
ACH-000919,STAD
